DATA;USUARIO;CPSSOA_JURID;CUND_ORGNZ
01/11/2022;I378667;0;0
01/11/2022;I379117;0;0
01/11/2022;I379908;0;0
01/11/2022;I381433;0;0
01/11/2022;I382135;0;0
01/11/2022;I384533;0;0
01/11/2022;I388490;0;0
01/11/2022;I388837;0;0
01/11/2022;I389141;0;0
01/11/2022;I392946;0;0
01/11/2022;I393003;0;0
01/11/2022;I393278;0;0
01/11/2022;I393515;0;0
01/11/2022;I393744;0;0
01/11/2022;I393870;0;0
01/11/2022;I394635;0;0
01/11/2022;I394992;0;0
01/11/2022;I396440;0;0
01/11/2022;I396934;0;0
01/11/2022;I396964;0;0
01/11/2022;I398607;0;0
01/11/2022;I398745;0;0
01/11/2022;I399346;0;0
01/11/2022;I401522;0;0
01/11/2022;I401931;0;0
01/11/2022;I404919;0;0
01/11/2022;I406893;0;0
01/11/2022;I412116;0;0
01/11/2022;I414883;0;0
01/11/2022;I420029;0;0
01/11/2022;I420415;0;0
01/11/2022;I421209;0;0
01/11/2022;I422366;0;0
01/11/2022;I424186;0;0
01/11/2022;I424258;0;0
01/11/2022;I424461;0;0
01/11/2022;I424887;0;0
02/11/2022;G499213;0;0
02/11/2022;G499213;2269651;00002
02/11/2022;G499213;2269651;02856
02/11/2022;G499213;2269651;06934
02/11/2022;G499213;2269651;04202
02/11/2022;G499213;2269651;04343
02/11/2022;G499213;2269651;08606
03/11/2022;C180468;0;0
03/11/2022;D305264;0;0
03/11/2022;D352432;0;0
03/11/2022;D826248;0;0
03/11/2022;D901053;0;0
03/11/2022;D914023;0;0
03/11/2022;E285003;0;0
03/11/2022;E313732;0;0
03/11/2022;E382890;0;0
03/11/2022;E400562;0;0
03/11/2022;E402875;0;0
03/11/2022;E433258;0;0
03/11/2022;E455014;0;0
03/11/2022;E522935;0;0
03/11/2022;E536405;0;0
03/11/2022;E549566;0;0
03/11/2022;E612993;0;0
03/11/2022;E614538;0;0
03/11/2022;E621313;0;0
03/11/2022;E676843;0;0
03/11/2022;E709679;0;0
03/11/2022;E727782;0;0
03/11/2022;E731615;0;0
03/11/2022;E792649;0;0
03/11/2022;E866812;0;0
03/11/2022;E874580;0;0
03/11/2022;E892139;0;0
03/11/2022;E894433;0;0
03/11/2022;E900077;0;0
03/11/2022;E906270;0;0
03/11/2022;E963060;0;0
03/11/2022;E975034;0;0
03/11/2022;E985293;0;0
03/11/2022;E986303;0;0
03/11/2022;E996864;0;0
03/11/2022;F002587;0;0
03/11/2022;F019404;0;0
03/11/2022;F037933;0;0
03/11/2022;F038000;0;0
03/11/2022;F058248;0;0
03/11/2022;F062997;0;0
03/11/2022;F087728;0;0
03/11/2022;F098380;0;0
03/11/2022;F101933;0;0
03/11/2022;F104967;0;0
03/11/2022;F115594;0;0
03/11/2022;F127843;0;0
03/11/2022;F128033;0;0
