"Country","Year","Continent","Least.Developed","Life.Expectancy","Population","CO2.emissions","Health.expenditure","Electric.power.consumption","Forest.area","GDP.per.capita","Individuals.using.the.Internet","Military.expenditure","People.practicing.open.defecation","People.using.at.least.basic.drinking.water.services","Obesity.among.adults","Beer.consumption.per.capita","ZPopulation","ZCO2.emissions","ZHealth.expenditure","ZElectric.power.consumption","ZForest.area","ZGDP.per.capita","ZIndividuals.using.the.Internet","ZMilitary.expenditure","ZPeople.practicing.open.defecation","ZPeople.using.at.least.basic.drinking.water.services","ZObesity.among.adults","ZBeer.consumption.per.capita","cluster0","cluster1","cluster2","cluster3","cluster4"
"Belgium",2015,"Europe",FALSE,80.99268293,11274196,8.437851999,10.43065357,7709.123078,22.76420079,46200.90445,85.05294175,0.909284202,0,99.9999977,24.1,4.6,-0.248694164339791,0.621040005133272,1.52796429799714,0.86458496039651,-0.363150526571254,1.24789282813981,1.22833427306328,-0.405980519327362,-0.50267763648309,0.694847244476264,0.510767945245209,1.30054929132049,"1","3","1","1","4"
"Benin",2015,"Africa",TRUE,60.608,10575962,0.520992816,2.90741682,100.2251518,30.02084072,2886.829137,11.25498791,0.798484705,55.42433382,64.7868223,7.9,1.03,-0.252631032046374,-0.831177813047595,-1.45449582659243,-0.879727176305555,-0.0103076198597874,-0.962843583588126,-1.46017249995748,-0.437069600818682,3.54349402525779,-1.66925106268368,-1.31809246493999,-0.675956237160885,"1","5","2","1","6"
"Bolivia",2015,"South America",FALSE,70.277,10869732,1.909890716,6.55064964,742.5383997,48.0266039,7133.873145,37.49,1.743839017,15.27655332,90.46214101,18.2,2.36,-0.250974662367781,-0.576407299717626,-0.0101977177703192,-0.732479203636794,0.865194799892972,-0.746075829391638,-0.504414189270874,-0.171813908873268,0.612564584257013,0.0545065027332422,-0.155298500439526,0.0603889597243324,"1","6","1","1","1"
"Botswana",2015,"Africa",FALSE,67.338,2120716,3.277194971,5.72629929,1815.553722,27.96075733,14639.55843,37.31205037,2.660266574,12.08874163,88.44628953,15.8,3.33,-0.30030442653677,-0.325597785984039,-0.336997488835142,-0.486494349100848,-0.11047599233071,-0.362988077093716,-0.51089700838194,0.0853252638836658,0.379843098331099,-0.0808312229111725,-0.426240783429926,0.597422674745882,"1","1","1","1","1"
"Brazil",2015,"South America",FALSE,74.994,204471759,2.373628508,8.90929508,2619.960499,60.28671451,14744.11363,58.32795173,1.365517154,1.954703743,97.80356759,21.7,4.1,0.84061579015264,-0.491342216590676,0.924847423916208,-0.302087025257664,1.46132373917693,-0.357651613461393,0.25472575224359,-0.277966730386122,-0.359977375660624,0.547386055706389,0.239825662254808,1.02372778873206,"1","6","1","1","7"
"Brunei Darussalam",2015,"Asia",FALSE,75.318,414914,15.42488346,2.38708901,10290.93802,72.10626186,62540.62522,71.2,3.279290461,2.6,99.50997616,14.1,0.66,-0.309922286462846,1.90269619596747,-1.66077099732131,1.45645663244803,2.03603097051503,2.0818668978313,0.723662723471479,0.25901634181353,-0.312868475137246,0.661948788712859,-0.618158233881459,-0.880804149076321,"1","6","3","1","5"
"Bulgaria",2015,"Europe",FALSE,74.61463415,7177991,6.207865317,7.41093588,4708.927458,35.30766396,18391.92747,56.65625161,1.248848117,0,99.19632731,26.9,4.22,-0.271789884662835,0.211985565860138,0.33084822984433,0.176801041725918,0.246755993226405,-0.171468373463361,0.193824645082491,-0.310702738193151,-0.50267763648309,0.640891422914271,0.826867275400675,1.09016494935328,"1","6","1","1","7"
"Cambodia",2015,"Asia",TRUE,68.637,15521435,0.543119905,6.19431591,271.3672049,50.11794697,3388.737638,18,1.801622621,35.66522949,68.44384896,3.3,2.93,-0.224746865781949,-0.827118961908841,-0.151460205724226,-0.840493483960371,0.966883126014685,-0.937226335834405,-1.21444738503915,-0.155600485326606,2.10100978609536,-1.42373016211347,-1.83739850733826,0.37596547267514,"1","2","2","1","2"
"Cameroon",2015,"Africa",FALSE,57.583,23298376,0.363115439,3.74879193,275.1979743,43.62184003,3395.628961,18.3,1.144433296,6.124247237,63.97399012,9.2,2.82,-0.180897972890892,-0.860137825429699,-1.12094687701336,-0.839615294027724,0.651019961088693,-0.936874604934668,-1.20351819269792,-0.340000352052992,-0.0555860088178701,-1.72382197709042,-1.17133206165353,0.315064742105686,"1","2","2","1","2"
"Canada",2015,"North America",FALSE,81.9,35702908,15.64858561,10.73320484,15588.48715,38.71643807,44670.08054,90,1.152709374,0,99.22922139,30.7,3.7,-0.110957234619675,1.94373068207945,1.64790563819476,2.67090047594027,0.412502368531979,1.1697600702932,1.40855877685493,-0.337678178484185,-0.50267763648309,0.643099824683218,1.25585922346881,0.802270586661318,"1","3","1","1","4"
