Data;Usuario;Empresa;Unidade
16/08/2022;I935165;0;0
16/08/2022;I935165;2269651;A03644
16/08/2022;I935165;2269651;D04695
16/08/2022;I935165;2269651;G08595
17/08/2022;I900265;0;0
17/08/2022;I900265;2269651;A00002
17/08/2022;I900265;2269651;A03657
17/08/2022;I900265;2269651;A06932
17/08/2022;I900265;2269651;D04651
17/08/2022;I900265;2269651;G04202
17/08/2022;I900265;2269651;G08596
17/08/2022;I900265;2269651;G08608
17/08/2022;I900565;0;0
17/08/2022;I900565;2269651;A02516
17/08/2022;I900565;2269651;A03994
17/08/2022;I900565;2269651;G04308
17/08/2022;I900565;2269651;G08757
17/08/2022;I900665;0;0
17/08/2022;I900665;2269651;A00002
17/08/2022;I900665;2269651;A03994
17/08/2022;I900665;2269651;A06505
17/08/2022;I900665;2269651;A06565
17/08/2022;I900665;2269651;G04202
17/08/2022;I900665;2269651;G04308
17/08/2022;I900965;0;0
17/08/2022;I900965;0;A00089
17/08/2022;I900965;2269651;2
17/08/2022;I900965;2269651;A00002
17/08/2022;I900965;2269651;A00214
17/08/2022;I900965;2269651;A00283
17/08/2022;I900965;2269651;D00000
17/08/2022;I900965;2269651;D04641
17/08/2022;I900965;2269651;D04642
17/08/2022;I900965;2269651;D04644
17/08/2022;I900965;2269651;D04651
17/08/2022;I900965;2269651;G04035
17/08/2022;I900965;2269651;G04084
17/08/2022;I900965;2269651;G04200
17/08/2022;I900965;2269651;G04202
17/08/2022;I900965;2269651;G04208
17/08/2022;I900965;2269651;G04330
17/08/2022;I900965;2269651;G04363
17/08/2022;I900965;2269651;G04554
17/08/2022;I900965;2269651;G04682
17/08/2022;I900965;2269651;G04965
17/08/2022;I900965;2269651;G08757
17/08/2022;I900965;2269651;G08759
17/08/2022;I918965;0;0
17/08/2022;I918965;2269651;A00002
17/08/2022;I918965;2269651;G04202
17/08/2022;I919365;0;0
17/08/2022;I919365;2269651;A00002
17/08/2022;I919365;2269651;G04202
17/08/2022;I921465;0;0
17/08/2022;I921465;2269651;A03994
17/08/2022;I921465;2269651;G04308
17/08/2022;I922265;0;0
17/08/2022;I922265;2269651;A00002
17/08/2022;I922265;2269651;D04651
17/08/2022;I922265;2269651;G04202
18/08/2022;I900265;0;0
18/08/2022;I900265;2269651;A00002
18/08/2022;I900265;2269651;G04035
18/08/2022;I900265;2269651;G04202
18/08/2022;I900565;0;0
18/08/2022;I900565;2269651;A00002
18/08/2022;I900565;2269651;G04202
18/08/2022;I900665;0;0
18/08/2022;I900665;2269651;A00002
18/08/2022;I900665;2269651;G04202
18/08/2022;I900965;0;0
18/08/2022;I900965;2269651;A00002
18/08/2022;I900965;2269651;G04202
18/08/2022;I922365;0;0
18/08/2022;I922365;2269651;A00002
18/08/2022;I922365;2269651;G04202
18/08/2022;I922565;0;0
18/08/2022;I922565;2269651;A00002
18/08/2022;I922565;2269651;G04202
19/08/2022;I900965;0;0
19/08/2022;I900965;2269651;A00002
19/08/2022;I900965;2269651;A00218
19/08/2022;I900965;2269651;A00283
19/08/2022;I900965;2269651;A00291
19/08/2022;I900965;2269651;D00000
19/08/2022;I900965;2269651;G04035
19/08/2022;I900965;2269651;G04123
19/08/2022;I900965;2269651;G04202
19/08/2022;I917465;0;0
19/08/2022;I917465;2269651;A00002
19/08/2022;I917465;2269651;G04202
19/08/2022;I920165;0;0
19/08/2022;I920165;2269651;A06932
19/08/2022;I920165;2269651;D04696
